Symbol,現價,DPI,5D_DPI,Edge,防禦價,位階,戰術,板塊
SN,116.8,66.3,63.93,-42.06,120.0,牛勢,⏳ 觀望,消費
SNA,384.45,62.66,73.13,-20.43,390.0,反彈,⏳ 觀望,工業
SNDR,30.95,62.79,59.25,-36.69,17.5,牛勢,⏳ 觀望,工業
SNDX,20.99,63.21,59.11,-63.08,18.0,逆轉,⏳ 觀望,醫療
SNEX,106.16,64.6,54.56,-39.55,96.67,牛勢,⏳ 觀望,金融
SNN,32.1,56.72,64.26,-28.44,35.0,止跌回升,⏳ 觀望,醫療
SNPE,65.46,97.12,86.85,-12.4,52.0,逆轉,⏳ 觀望,指數基金
SNPS,499.33,63.21,55.39,-61.74,400.0,牛勢,⏳ 觀望,科技
SO,93.85,60.48,62.37,-15.74,92.0,反彈,⏳ 觀望,公用事業
SOC,13.6,70.81,67.25,-136.55,17.5,牛勢,⏳ 觀望,能源
SOHU,15.62,62.17,10.33,-35.99,12.5,反彈,⏳ 觀望,通訊
SOLV,69.79,82.27,80.54,-27.78,65.0,逆轉,⏳ 觀望,醫療
SON,50.25,68.21,72.17,-33.93,45.0,反彈,⏳ 觀望,消費
SONO,14.63,63.11,65.36,-41.79,12.5,逆轉,⏳ 觀望,科技
SOXL,122.09,60.44,54.63,-95.39,99.0,牛勢,⏳ 觀望,指數基金
SOYB,24.66,74.27,68.39,-12.94,21.0,逆轉,⏳ 觀望,指數基金
SPB,83.92,68.42,61.46,-35.57,60.0,牛勢,⏳ 觀望,Consumer Defensive
SPBC,44.64,66.42,0.0,-14.75,38.0,逆轉,⏳ 觀望,指數基金
SPCE,2.52,66.97,59.82,-81.99,1.5,逆轉,⏳ 觀望,工業
SPGM,82.58,71.83,71.21,-12.73,71.0,逆轉,⏳ 觀望,指數基金
SPHB,134.22,79.36,54.17,-22.06,130.0,牛勢,⏳ 觀望,指數基金
SPHR,133.99,61.68,52.11,-49.39,90.0,牛勢,⏳ 觀望,通訊
SPHY,23.58,65.74,65.73,-3.66,23.0,止跌回升,⏳ 觀望,指數基金
SPIB,33.3,81.79,79.27,-2.81,25.0,止跌回升,⏳ 觀望,指數基金
SPIP,26.23,67.14,81.38,-3.69,26.0,止跌回升,⏳ 觀望,指數基金
SPMD,62.69,72.85,67.44,-15.81,60.0,逆轉,⏳ 觀望,指數基金
SPMO,132.15,65.49,64.93,-16.6,123.0,牛勢,⏳ 觀望,指數基金
SPNT,23.76,63.42,45.0,-28.63,20.0,牛勢,⏳ 觀望,金融
SPRX,43.86,68.55,0.0,-41.66,40.0,牛勢,⏳ 觀望,指數基金
SPSB,30.08,70.15,64.19,-1.3,31.0,止跌回升,⏳ 觀望,指數基金
SPSM,53.1,65.84,58.01,-17.77,47.0,逆轉,⏳ 觀望,指數基金
SPTI,28.76,68.37,66.99,-3.46,28.0,止跌回升,⏳ 觀望,指數基金
SPTL,26.21,94.82,73.62,-9.14,26.0,止跌回升,⏳ 觀望,指數基金
SPTS,29.1,39.78,66.55,-1.31,20.0,止跌回升,⏳ 觀望,指數基金
SPVM,71.8,73.82,0.0,-12.01,58.0,反彈,⏳ 觀望,指數基金
SPXC,222.49,66.75,70.45,-34.19,180.0,牛勢,⏳ 觀望,工業
SPXS,30.47,60.34,55.64,-37.13,20.0,止跌回升,⏳ 觀望,指數基金
SPXU,42.71,68.01,58.83,-36.94,10.0,止跌回升,⏳ 觀望,指數基金
SPYD,46.02,51.03,67.49,-11.96,42.0,反彈,⏳ 觀望,指數基金
SPYG,112.92,65.93,68.27,-16.26,98.0,逆轉,⏳ 觀望,指數基金
SPYH,55.2,69.2,0.0,-8.1,45.0,反彈,⏳ 觀望,指數基金
SPYI,52.27,47.55,64.67,-9.9,50.0,逆轉,⏳ 觀望,指數基金
