,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,ACRS,4.58,4.3,662344,4.89,1.16,,4,2,1,5,4,0,'-417097,'-149307,0.5741,0.2047,2026-05-16,2026-12-19,69,7,0.1594,0.2857,0.3273,0.1014,2.7936,'-7.1981,0.46103687,0.29516014,0.7208,1.2583,0.3559,0.0819,0.8074,0.341519283,62.980000000000004,6.2025,0.49508,1.7196799999999999
,ACT,43.85,43.84,54268,44.8,33.94,05-06 4:20 AM,45,40,22.5,45,30,,'-8542,'-929,0.0501,0.1188,2026-07-18,2026-07-18,5,0,0.8,,0.1304,0,9.1948,'-23.523,'-0.00224271,'-0.09150671,0.1722,0.3803,0.4065,0.0924,0.7113,1.0523481664,60.809999999999995,3.8037,,
,ACTG,4.865,4.86,53346,5.22,2.97,05-07 8:15 PM,5,2.5,5,5,10,0,'-862696,'-263354,0.8744,0.1985,2026-05-16,2026-08-22,102,0,0,,0.0901,0,3.2758,'-10.617,'-0.74612088,'-0.76341387,0.271,0.6374,0.1355,0.0707,0.0837,0.1955288771,55.900000000000006,5.8023,0.2868,0.4772
,ACVA,5.225,5.13,703255,17.54,4.07,05-07 4:05 AM,5,5,5,10,20,0,'-511923,'-314258,0.3171,0.4672,2026-08-22,2026-08-22,73,9,0.3425,1,0.4389,0.1233,1.629,'-1.5583,'-0.26418939,'-0.28311558,0.5016,0.995,0.6992,0.026,0.2167,0.3221832986,34.88,4.1129,0.38084,2.96462
,ACWI,150.48,150.51,1645531,151.47,113.58,,150,150,65,150,140,,'-2357017,'-795811,0.6842,0.7465,2026-05-16,2026-05-16,6,20,0.5,0.05,1.2041,3.3333,2.9618,'-3.1374,'-0.2122093,'-0.29680095,0.1979,0.1688,0.4742,0.3078,0.312,1.6036159818,10.73,12.346,0.29967999999999995,6.47836
,ACWV,121.16,120.32,30391,125.28,113.95,,119,111,95,119,110,,'-4024,'-802,0.2515,0.9009,2026-07-18,2026-05-16,0,0,,,0.375,,5.0175,'-3.3686,0.02123142,'-0.07194245,0.1022,0.0973,0.0659,0.176,0.504,0.7389469166,59.67,33.5812,0.7627,15.8042
,ACWX,73.16,73.29,655062,75.08,55.76,,74,66,40,66,69,,'-269593,'-48362,0.0854,0.0083,2026-09-19,2026-09-19,2,0,0,,0.1146,0,5.5745,'-19.0019,'-0.87829833,'-0.67056856,0.2379,0.1794,0.3069,0.3895,0.0567,0.8299075933,11.790000000000001,8.2662,0.23658,5.8825400000000005
,AD,48.065,48.28,28216,79.17,44.03,,46.75,46.75,11.75,46.75,26.75,52.52247240034301,'-199777,'-58889,0.0077,0.0023,2026-12-19,2026-12-19,12,12,0.8333,0,0.9078,1,3.3924,'-6.4198,0.12038062,0.10178655,0.2667,0.4254,0.7883,0.0411,0.6294,1.2963650824,77.96,7.5082,,
,ADAM,8.065,7.94,144053,8.76,5.52,04-30 4:05 AM,7.5,7.5,5,10,2.5,0,'-480626,'-185648,0.0187,0.3502,2026-07-18,2026-05-16,235,7,0.0043,0,0.297,0.0298,2.5889,'-3.8443,'-0.58717032,'-0.54620268,0.251,0.4253,0.3319,0.0134,0.5519,0.2131466263,73.31,3.7994,0.62112,5.08154
,ADBE,238.49,245.36,1834772,422.95,224.13,,240,200,240,260,220,42.39244476750627,'-36422820,'-39626661,0.1052,0.2032,2026-05-16,2028-01-22,23910,9903,0.3552,0.2563,0.7069,0.4142,0.9191,'-0.9644,0.01384402,0.00330189,0.4643,0.424,0.581,0.6909,0.416,6.5664735214,54.47,0.3268,0.5641999999999999,0.40671999999999997
,ADC,75.99,76.67,215799,82.08,69.56,,80,80,45,80,75,14.80041797076009,'-1050167,'-289411,0.5466,0.6089,2026-05-16,2026-05-16,91,6,0.8571,0.3333,0.2376,0.0659,3.6286,'-2.5836,0.13028846,0.02884615,0.1633,0.208,0.4569,0.3399,0.9174,1.0065871363,46.23,0.4777,0.476,1.2477800000000001
,ADEA,30.14,30.33,312812,30.7,11.61,05-05 4:05 AM,30,22.5,5,30,25,4.808647482839456,'-429114,'-294526,0.0318,0.0219,2026-06-19,2026-06-19,291,0,0.1615,,0.8474,0,1.457,'-9.7383,0.09888498,0.12637018,0.3861,0.6386,0.4967,0.0727,0.8066,1.2225423215,53.349999999999994,5.5917,0.48563999999999996,6.849120000000001
,ADI,392.5,399.46,1511861,408.37,186.73,,382.5,270,397.5,420,382.5,14.613037073484577,'-7814700,'-4865588,0.4111,0.053,2026-05-02,2026-06-19,2309,2167,0.1893,0.1634,0.8536,0.9385,1.6061,'-7.0711,'-0.01078235,0.01872822,0.4026,0.4592,0.9947,0.3308,0.94,11.5781122262,43.84,0.5112,0.46884,0.5008
,ADM,70.55,69.23,488730,74.19,46.81,05-05 6:00 PM,67.5,62.5,25,75,45,10.972378574364882,'-9229297,'-2670536,0.2192,0.0685,2026-06-19,2027-01-16,478,183,0.3033,0.3115,0.451,0.3828,3.456,'-5.1133,'-0.0310757,'-0.04726776,0.2447,0.366,0.8489,0.4917,0.506,1.5993296724,53.239999999999995,0.3696,0.5690999999999999,0.39404
,ADMA,10.925,11.27,1622092,25.67,7.21,,11,11,8,11,8,4.748335364416932,'-8076239,'-2068333,0.3147,0.1987,2026-06-19,2026-06-19,932,1221,0.7328,0.2654,0.3545,1.3101,3.9047,'-4.8341,'-0.28121033,'-0.23459113,0.7339,0.9037,0.4669,0.0156,0.0402,0.6428516695,46.87,0.4645,0.46083999999999997,0.4642200000000001
,ADNT,21.63,22.14,169517,27.32,11.89,05-06 6:50 PM,22.5,22.5,5,22.5,17.5,11.423322681534355,'-545575,'-35790,0.6462,0.49,2026-05-16,2026-05-16,20,8,0.3,1,0.0986,0.4,15.2438,'-18.6213,'-0.08514135,'-0.05428082,0.4422,0.584,0.5831,0.0738,0.3208,0.8161181594,67.36999999999999,0.4215,0.48384,5.06534
,ADP,197.225,196.48,1420128,329.93,188.16,04-29 7:00 PM,205,340,180,210,180,10.519785255470762,'-4956199,'-5853282,0.0688,0.0029,2026-05-16,2027-03-20,1442,2275,0.6886,0.2853,0.913,1.5777,0.8467,'-0.4381,'-0.11934071,'-0.07292849,0.2619,0.3524,0.9226,0.3357,0.792,4.3703561194,50.38,0.5131,0.53286,0.50254
,ADPT,14.22,14.15,276606,20.76,7.16,05-06 4:05 AM,15,15,5,15,10,1.1703242552355955,'-49577,'-11860,0.4312,0.1477,2026-05-16,2026-07-18,10,5,0.5,0,0.2449,0.5,4.1802,'-3.9686,'-1.00334851,'-0.7704461,0.8691,0.7532,0.3455,0.2222,0.0331,0.6727122388,42.8,0.3883,0.47531999999999996,0.36776
,ADSE,12.05,12.05,920,14.13,7.89,,12.5,12.5,5,12.5,10,,'-25035,'-9635,0.4811,0.3942,2026-08-22,2026-06-19,2,2,1,1,15.7455,1,2.5983,'-0.4151,'-1.48917749,'-1.37361463,0.6742,0.7489,0.1705,0.2602,0.0826,0.5696045572,51.09,0.3047,,
,ADSK,234.94,237.44,497577,329.09,214.1,,240,360,115,260,185,12.383252452621011,'-2888452,'-3810501,0.2908,0.0402,2026-05-02,2026-07-18,1062,838,0.8569,0.8425,1.4718,0.7891,0.758,'-0.4797,'-0.01184944,'-0.02939297,0.4776,0.4695,0.792,0.1667,0.632,7.0364249195,49.94,0.4469,0.5020600000000001,0.45996
,ADT,7.22,7.26,1755073,8.94,6.25,04-30 6:55 PM,7,10,2,10,7,3.544212993565849,'-3349789,'-1488532,0.6212,1.7435,2026-05-16,2026-12-19,54,51,0.7407,0.3137,0.2285,0.9444,2.2504,'-0.8389,'-0.24066775,'-0.23798191,0.2371,0.4202,0.8091,0.408,0.2125,0.1925551979,56.26,0.4062,0.61672,0.40497999999999995
,ADTN,16.745,16.92,993975,17.99,7.11,05-05 11:00 AM,16,11,16,20,16,11.013538933590638,'-1483187,'-2464222,0.7763,0.5423,2026-05-16,2026-08-22,3512,146,0.0379,0.726,0.8794,0.0416,0.6019,'-2.1531,'-0.05401,'-0.02997059,0.4685,0.8842,0.9861,0.0921,0.4091,0.9443075175,43.02,8.677,0.3158,5.50462
,ADUR,12.36,11.89,160567,17.66,4.25,,12.5,12.5,5,15,10,0,'-446284,'-248212,0.4623,0.067,2026-05-16,2026-12-19,247,67,0.9231,0.8806,0.5693,0.2713,1.798,'-3.1306,0.11949911,0.04845555,0.7814,0.8482,0.1104,0.5795,0.8309,0.6365649183,56.99999999999999,15.0597,0.6193000000000001,20.23578
,ADUS,98.08,95.64,103158,124.44,90.89,05-05 4:05 AM,90,130,55,130,90,4.427327766414462,'-14552,'-8315,0.1109,0.2267,2026-07-18,2026-07-18,0,0,,,0.3604,,1.7501,'-1.6055,0.13077569,0.15024702,0.2627,0.3441,0.5022,0.0284,0.6502,2.0772406741,37.4,9.549,0.39633333333333337,6.469766666666666
,AEE,111.91,111.14,281485,115.53,93.27,05-07 4:30 AM,115,115,55,115,105,10.171944691280407,'-605230,'-126270,0.4565,0.1361,2026-05-16,2026-06-19,19,7,0.1579,0,0.3057,0.3684,4.7931,'-5.8146,'-0.07597716,'-0.08886894,0.1676,0.2228,0.7505,0.3743,0.6432,1.5629610554,57.65,0.4547,0.48363999999999996,0.45842
,AEG,8.035,8.02,1074943,8.2,6.23,,7.5,7.5,5,7.5,5,0,'-189022,'-53802,0.0066,0.0819,2026-07-18,2026-07-18,23,0,0,,0.3649,0,3.5133,'-5.6671,0.39372647,0.14613994,0.2399,0.3873,0.2497,0.1009,0.8361,0.1960579436,68.03,0.2351,0.5622199999999999,4.70156
,AEHR,87.31,95.86,1249018,102.48,8.02,,100,30,5,95,85,5.5461289570309615,'-1947524,'-1009254,0.1185,0.0019,2026-05-16,2027-01-16,5802,3148,0.1872,0.3205,0.5336,0.5426,1.9297,'-14.8636,0.0830776,'-0.93744208,1.3965,1.2948,0.7808,0.146,0.2305,7.8343450104,29.53,0.4985,0.3527,0.49207999999999996
,AEIS,385.46,387.07,487488,397.44,92.83,05-05 4:00 AM,410,440,95,440,350,4.5477533624909015,'-415957,'-317152,0.6524,0.0649,2026-05-16,2026-07-18,94,63,0.2234,0.7619,0.8727,0.6702,1.3115,'-3.4928,'-0.01197677,'-0.01308505,0.5723,0.7948,1,0.3125,0.8193,19.418243767,22.2,0.5423,0.36673999999999995,0.48952000000000007
,AEM,198.53,200.14,962395,255.24,103.38,05-01 5:00 AM,200,140,35,220,180,23.14188357317256,'-7327320,'-5188892,0.1127,0.0003,2026-05-16,2027-01-16,4101,1150,0.685,0.2791,0.6215,0.2804,1.4121,'-2.8334,0.04360518,0.02523916,0.4083,0.4913,0.7247,0.6744,0.5,6.2064496623,34.28,0.4837,0.4202,0.41976
,AEO,17.895,17.9,1009572,28.46,9.27,,18,15,17,18.5,17,10.597743355289781,'-7590271,'-4495651,0.2954,0.4771,2026-05-16,2027-01-16,5182,976,0.6928,0.2664,0.788,0.1883,1.6884,'-1.4856,0.05093966,'-0.01793648,0.5091,0.6077,0.316,0.1087,0.5301,0.6866016537,53.54,0.4382,0.4962,0.4311
,AEP,135.07,134.72,607325,137.74,97.46,05-05 6:55 PM,135,140,45,140,120,17.607015289743835,'-9992137,'-2185014,0.4327,0.2096,2026-05-16,2027-01-16,592,103,0.424,0.3107,0.411,0.174,4.573,'-9.4278,'-0.22556685,'-0.21236778,0.1518,0.2458,0.8634,0.1892,0.166,2.0901455532,65.7,0.4522,0.5785,0.49158
,AER,138.61,138.12,692195,154.94,99.04,04-29 7:00 PM,140,75,130,155,130,13.283729833197672,'-1718107,'-1319229,0.7092,0.0428,2026-05-16,2027-01-16,124,9,0.0645,0.3333,0.537,0.0726,1.3024,'-4.6635,'-0.12879222,'-0.11752516,0.3319,0.3378,0.7901,0.5184,0.1918,2.9449558796,31.25,7.6696,0.28942,5.29742
,AERO,15.02,14.97,131160,23.05,12.26,,15,17.5,5,17.5,12.5,,'-3144,'-4237,0.3105,13.5495,2026-06-19,2026-11-21,0,3,,0,1.2692,,0.742,'-0.9719,'-0.69610169,'-0.62976085,0.6098,0.5645,0,0.5143,0.5,0.5333942435,36.07,0.6293,0.4749,0.6336
,AES,14.47,14.49,12553259,17.65,9.46,,15,13,14,15,14,1.545560156184427,'-29482378,'-12576653,0.0524,0.0186,2027-01-16,2027-01-16,1117,874,0.1558,0.0709,0.6211,0.7825,2.3442,'-1.8961,'-0.67698745,'-0.39460371,0.0518,0.1186,0.0636,0,0.064,0.1084715016,6.72,0.7231,0.24598,0.5731799999999999
,AESI,16.685,16.31,2030994,16.5,7.64,05-05 4:15 AM,17.5,15,5,15,10,1.626095077791582,'-1065245,'-94751,0.2903,0.1486,2026-07-18,2026-07-18,977,10,0.1955,0.6,0.1717,0.0102,11.2426,'-30.8433,'-0.11309031,'-0.09081921,0.6759,0.708,0.5762,0.3428,0.5816,0.7288695323,43.3,8.6081,0.53732,9.540119999999998
,AETH,34.09,35.78,1284,59.48,26.79,,36,43,25,43,36,,'-10836,'-17183,0.0257,0.0214,2026-09-19,2026-12-19,0,0,,,1.2346,,0.6306,'-0.2187,'-0.37183647,'-0.41377797,0.559,0.4558,0.3156,0.3632,0.1135,1.0293835763,97.11999999999999,256.8,,
,AEVA,16.09,16.17,581523,38.8,6.65,05-07 4:05 AM,15,20,5,20,12.5,22.699865603067945,'-1147199,'-204386,0.4443,0.1716,2026-05-16,2026-07-18,343,44,0.5539,0.8182,0.1969,0.1283,5.6129,'-8.898,0.07331117,0.07865727,0.8659,1.2065,0.5235,0,0.5826,1.2314021966,47.9,8.4862,0.50746,10.055200000000001
,AEXA,11.195,11.13,28880,11.91,10.49,,11,10,3,12.5,7.5,79.31378263207101,'-4386970,'-25712,0.0467,0.0137,2026-06-19,2026-06-19,2207,0,0.4268,,0.0053,0,170.6196,'-383.9654,'-0.08534499,0.01776093,0.1499,0.5011,0.419,0.4872,0.5326,0.3520320015,40.57,0.539,0.5861,0.594
,AEYE,7.28,7.26,68732,16.39,5.31,05-13 4:00 AM,7,6,2,6,3,10.336669296809854,'-60490,'-11393,0.4485,0.2359,2026-05-16,2026-06-19,51,1,0.6078,1,0.2108,0.0196,5.3094,'-8.0368,'-1.04913477,'-0.8522641,0.6784,0.7906,0.5099,0.2283,0.0041,0.3622897179,50.82,11.729,,
,AFG,129.59,130.29,130658,150.02,120.52,04-30 5:00 AM,136.5,103.5,75,126.5,136.5,4.523814974155991,'-110589,'-78700,0.2459,0.0515,2026-06-19,2026-09-19,0,2,,1,0.4677,,1.4052,'-1.9697,'-0.00978679,'-0.02003643,0.1776,0.2745,0.4359,0.0069,0.823,2.257438932,44.22,0.4994,0.31736,0.5081
,AFK,27.1,27.48,60958,30.85,17.25,,27,30,18,29,25,,'-30953,'-16408,0.0623,0.0759,2026-06-19,2026-09-19,0,0,,,0.6308,,1.8865,'-2.3354,'-0.34242804,'-0.32473832,0.3383,0.3917,0.5387,0.2635,0.284,0.6794114751,26.21,120.2327,0.7478,252.7579
,AFL,114.69,114.65,550438,119.32,96.95,04-30 4:05 AM,115,115,90,115,90,25.565196026830872,'-10233084,'-3053985,0.0825,0.1511,2026-05-16,2026-05-16,1371,235,0.55,0.2,0.7248,0.1714,3.3507,'-3.5609,'-0.09392632,'-0.13632287,0.1677,0.223,0.4526,0.0338,0.536,1.6137694881,61.59,0.3665,0.6081799999999999,0.4252999999999999
,AFRM,65.12,63.71,1795655,100,42.1,05-08 4:30 AM,65,50,20,70,62.5,46.97118821428991,'-13402522,'-9643443,0.1526,0.1028,2026-05-16,2026-05-16,6852,4007,0.249,0.3075,0.9773,0.5848,1.3898,'-2.2424,'-0.04506999,'-0.05346023,0.6289,0.8511,0.7681,0.1995,0.28,3.4225576595,37.4,0.4996,0.41337999999999997,0.51044
,AFRU,9.24,8.86,12080,26.69,4.05,,9,5,2,10,8,,'-3805,'-2851,0.4259,0.3885,2026-06-19,2026-05-16,2,0,1,,0.8243,0,1.3346,'-1.7967,'-0.1612456,'-0.13561907,1.2805,1.7704,0.7454,0.4792,0.4745,0.9900741021,8.18,1.4025,,
,AFYA,14,13.99,20873,19.9,13,,15,12.5,5,17.5,10,9.427516004812478,'-3345,'-7067,0.1081,0.1848,2026-06-19,2026-09-19,0,2,,0,3.3939,,0.4733,'-0.6577,0.10416959,0.1361902,0.3756,0.6814,0.4485,0.3572,0.7592,0.601703339,54.13,7.8945,,
,AG,20.48,20.57,3687433,32.04,5.49,,22,25,10,25,10,34.17205917977827,'-48989005,'-19848272,0.1016,0.0215,2026-07-18,2026-12-19,15406,14788,0.2123,0.7046,0.4943,0.9599,2.4682,'-4.4021,0.04541757,0.09047741,0.6441,0.7792,0.4588,0.2573,0.472,1.0116861705,32.32,0.4179,0.35396,0.43710000000000004
,AGCO,117.49,116.14,310257,143.78,82.06,05-05 7:30 PM,110,100,60,140,105,4.163671235197855,'-147502,'-60261,0.5333,0.3662,2026-05-16,2026-08-22,11,14,0.3636,0.8571,0.4454,1.2727,2.4477,'-1.966,'-0.14514066,'-0.15434012,0.3704,0.4516,0.8592,0.2082,0.1837,3.3105361358,57.37,0.5141,0.56042,2.51758
,AGEN,4.085,3.92,290809,7.34,2.63,,4,5,2,5,4,0,'-625386,'-131707,0.7621,0.3981,2026-05-16,2026-05-16,362,208,0.558,0.9904,0.1384,0.5746,4.7483,'-5.3568,'-0.44444444,'-0.29459792,1.0693,0.8941,0.2409,0.1363,0.2469,0.221225273,50.19,5.5819,0.52976,4.527959999999999
,AGG,99.44,99.57,2131810,101.46,96.66,,100,95,91,100,98,,'-2173077,'-1138675,0.4948,0.9325,2026-05-16,2026-05-16,25,1,0.24,0,0.8444,0.04,1.9084,'-8.4344,'-0.42299349,'-0.41036717,0.0417,0.0463,0.3196,0.2044,0.0449,0.2909859875,31.04,0.5048,0.38426,0.56088
,AGGY,44.055,43.88,39201,44.84,42.47,,41,35,36,35,35,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,'-0.1886646,'-0.19311503,0.0553,0.1191,0.0631,0.4181,0.1943,0.3298685855,20.979999999999997,40.0828,,
,AGI,43.54,45.19,855058,55.41,23.75,04-30 5:00 AM,42,35,10,55,46,29.01272696002061,'-6600641,'-2334850,0.2434,0.0637,2026-06-19,2027-01-16,912,251,0.3564,0.4024,0.3074,0.2752,2.827,'-6.3658,0.01351595,0.03912964,0.5341,0.5469,0.6866,0.4602,0.4378,1.5599577731,40.35,3.7233,0.40664,3.3679
,AGIO,24.44,25.32,405392,46,22.24,04-29 6:30 PM,25,30,15,30,22.5,135.59449425947147,'-2453605,'-584405,0.1627,0.0461,2026-12-19,2026-12-19,164,126,0.6707,0.0952,0.1812,0.7683,4.1985,'-5.5389,0.03740037,0.06035645,1.0795,0.6677,0.1371,0.1083,0.7149,1.0671062299,44.48,0.4781,0.42278000000000004,2.95746
,AGIX,39.96,39.63,114513,40.01,24.73,,42,42,25,42,36,,'-776069,'-34646,0.058,0.0171,2026-09-19,2026-09-19,93,0,0.2473,,0.0346,0,22.4,'-37.7702,0.07946537,0.04497487,0.3294,0.398,0.5535,0.7154,0.7982,0.9955652339,30.759999999999998,19.5448,0.4197,36.89734
,AGL,25.4,26.09,82372,119.5,7.48,,26,5,1,2,25,32.973350393410136,'-62099,'-10319,0.3772,0.0578,2027-01-16,2027-01-16,40,19,0.975,0.8947,0.0719,0.475,6.0179,'-16.809,'-0.03771912,'-0.02533595,9.9999,1.4288,0.3552,0.0339,0.4635,2.3529250773,39.550000000000004,5.837,0.49664,9.70946
,AGM,175.44,173.11,19748,210.64,136.57,,160,145,85,180,175,23.733086922108196,'-118028,'-160385,0.5098,0.1709,2026-05-16,2026-11-21,21,3,0,1,0.9001,0.1429,0.7359,'-3.0663,'-0.39674523,'-0.32946972,0.2646,0.3451,0.7019,0.0845,0.1585,3.7707669633,70.84,8.2801,,
,AGNC,11.11,11.03,6346554,12.19,8.52,,11,10,9,11,9,18.620389656031936,'-104758931,'-27385005,0.1311,0.0867,2026-06-19,2028-01-22,9266,5222,0.2608,0.3154,0.6064,0.5636,3.8254,'-3.7481,'-0.65262719,'-0.42009959,0.2372,0.2209,0.3187,0.2382,0.228,0.1537920217,57.19,0.6207,0.53338,0.5559200000000001
,AGNG,36.91,35.48,10549,39.48,30.24,,36,39,28,39,27,,'-6589,'-265,0,0,2026-07-18,2026-07-18,0,0,,,0.04,,24.8642,'-5.2568,0.01344809,0.05278592,0.1835,0.1705,0.1581,0.4634,0.6432,0.3818304614,50.89,33.7029,,
,AGO,82.995,83.34,84813,92.4,78.77,05-08 4:05 AM,85,80,50,85,105,22.68192592667513,'-493536,'-432450,0.4593,0.2088,2026-07-18,2026-05-16,6,64,0.5,0.7813,1.6628,10.6667,1.1413,'-0.4625,'-0.0742236,'-0.08911212,0.1916,0.3086,0.5569,0.2193,0.5455,1.6233493657,65.14999999999999,5.5098,0.685825,3.3998500000000003
,AGQ,117.93,119.48,806475,431.47,37.95,,120,150,17,150,100,,'-4287497,'-2273236,0.1859,0.0324,2026-06-19,2028-01-22,5075,2172,0.7854,0.61,0.5352,0.428,1.8861,'-2.2382,0.01853131,0.03382846,1.0713,1.0435,0.3231,0.2162,0.416,7.8695562709,46.45,15.5381,0.43221999999999994,17.44824
,AGRO,13.04,12.78,604366,15.89,6.89,,12.5,10,5,15,7.5,0,'-1687389,'-194051,0.1704,0.0168,2026-09-19,2026-09-19,443,53,0.5553,0.4717,0.1252,0.1196,8.6956,'-14.592,'-0.43992382,'-0.32194792,0.5939,0.5914,0.2035,0.3684,0.3498,0.4770619201,26.56,0.4753,0.41322000000000003,5.419079999999999
,AGX,660.87,652.99,85931,683.12,141.25,,700,760,110,760,480,15.992516567750938,'-426000,'-362093,0.601,0.2832,2026-05-16,2026-12-19,176,246,0.2159,0.6585,1.7308,1.3977,1.1765,'-3.1909,'-0.02979629,'-0.01898087,1.2301,0.6849,0.3424,0.0434,0.588,28.229050748,64.33,0.4613,0.5864800000000001,0.42257999999999996
,AGYS,66.13,66.74,79834,145.25,61.5,,70,55,40,100,60,4.421395764767278,'-42199,'-14626,0.2404,0.0902,2026-07-18,2026-07-18,22,2,0,0.5,0.1993,0.0909,2.8852,'-3.9668,'-0.10698529,'-0.10149839,0.5146,0.5606,0.5018,0.1878,0.3648,2.3615757117,46.2,5.8697,0.26103333333333334,2.461466666666667
,AGZ,108.27,109.98,6789,111,108.19,,105,105,106,105,105,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,'-0.44067797,'-0.33333333,0.0311,0.0594,0.0952,0.2,0.0364,0.412346904,19.28,1131.5,,
,AHCO,13.19,12.81,238195,12.94,7.58,05-05 7:00 PM,12.5,10,12.5,15,12.5,0,'-1001671,'-2150606,0.0731,0.1494,2026-06-19,2026-06-19,72,136,0.0833,0.1397,2.057,1.8889,0.4658,'-1.6568,'-0.09632599,'-0.13183187,0.3317,0.6971,0.6138,0.0186,0.5292,0.5636464685,34.160000000000004,3.831,0.32514000000000004,4.393939999999999
,AHR,50.1,50.11,663885,54.67,30.06,05-08 4:15 AM,50,50,30,50,80,6.363125439132769,'-123792,'-9950,0.3312,0.3363,2026-07-18,2026-07-18,5,0,0.6,,0.094,0,12.4414,'-25.1702,0.26460481,0.10371362,0.3186,0.2989,0.3331,0.4518,0.8792,0.9453941173,73.34,7.6898,0.62544,4.86636
,AI,8.78,8.64,1487412,30.24,7.68,,9,9,4,9,7.5,44.74437302203919,'-32505569,'-10776035,0.4755,1.764,2026-05-02,2026-05-02,22965,1447,0.8718,0.546,0.5432,0.063,3.0165,'-0.8554,0.00976348,0.04254229,0.7162,0.7804,0.6434,0.3195,0.468,0.4255921227,51.81,0.4291,0.56028,0.45621999999999996
,AIA,123.84,123.61,110725,123.9,68.63,,114.11,100.11,50,135,100,,'-24879,'-17802,0.2352,0.5457,2026-11-21,2026-05-16,0,11,,0.0909,1.0405,,1.3975,'-4.3506,'-0.18228228,'-0.99033816,0.3641,0.3105,0.5303,0.5773,0.4115,2.4225781102,46.78,10.135,0.6004400000000001,17.617659999999997
,AIBU,53.7,53.66,12898,65.41,24.96,,55,40,29,55,45,,'-7381,'-1077,0.317,0.2137,2026-07-18,2026-07-18,3,0,0,,0.2712,0,6.8533,'-16.0099,'-0.23609023,'-0.25533944,0.9244,0.5244,0.4283,0.5717,0.6,1.776134823,42.9,1289.8,,
,AIFD,46.6,46.43,15722,46.71,23.41,,45,31,30,45,25,,'-11044,'-803,0,0.1217,2026-06-19,2026-06-19,10,0,0,,0.0566,0,13.7534,'-86.0097,'-0.03835169,'-0.29703357,0.346,0.2562,0.2311,0.8412,0.3117,0.7508278735,60.940000000000005,28.6375,,
,AIG,74.13,75.13,1085626,87.46,71.25,05-01 4:15 AM,75,90,77.5,90,75,11.885677428086002,'-6897994,'-9731753,0.0436,0.0402,2026-06-19,2028-01-22,371,493,0.3315,0.7505,0.8037,1.3288,0.7088,'-0.5956,'-0.07882936,'-0.08598835,0.1974,0.2919,0.8465,0.1367,0.468,1.3842357508,29.54,0.4321,0.20339999999999997,0.43448000000000003
,AIN,55.71,55.33,61934,73,41.15,04-30 7:00 PM,55,60,35,60,50,15.546687577067766,'-36637,'-201038,0.0057,0.0045,2026-09-19,2026-06-19,0,0,,,7.7864,,0.1822,'-0.2007,0.65355102,0.52117155,0.3919,0.5975,0.4629,0.287,0.8083,2.0867054851,47.099999999999994,8.6367,0.4872,9.1748
,AIP,26.6,26.71,572757,26.98,6.23,05-13 4:05 AM,25,25,5,25,15,24.810686400048514,'-858879,'-22162,0.7631,0.5929,2026-05-16,2026-05-16,1351,13,0.2139,0.1538,0.0804,0.0096,38.7546,'-67.6732,'-1.04255319,'-0.99453232,0.71,1.0242,0.677,0.1033,0.0041,1.7267172884,45.190000000000005,0.4536,0.37876,3.18962
,AIPI,35.77,35.7,112228,45.08,32.21,,36,38,26,36,35,,'-80060,'-23316,0.2357,0.4181,2026-09-19,2026-09-19,0,6,,0.8333,0.2243,,3.4337,'-1.3808,'-0.50862549,'-0.45674931,0.2526,0.1815,0.2658,0.3473,0.652,0.4089850407,43.059999999999995,48.6046,0.59024,35.71542
,AIQ,55.44,55.15,681838,55.16,35.15,,56,35,50,56,50,,'-1519162,'-1316420,0.6598,0.4693,2026-05-16,2026-05-16,100,47,0.15,0.7021,1.8943,0.47,1.154,'-2.9339,'-0.27097024,'-0.3213448,0.3177,0.2558,0.427,0.4607,0.2621,0.8904481474,30.740000000000002,0.4324,0.31492000000000003,3.65796
